               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.024127,            0.012047,                   0,             0.87403,             0.73073,             0.76831,             0.46404,             0.04123,            0.033762,                   0,             0.00886,             0.00886,             0.00886
                  40,            0.023652,            0.011976,                   0,             0.87158,             0.68998,              0.7428,             0.44927,            0.042777,            0.037989,                   0,             0.00883,             0.00883,             0.00883
                  41,             0.02381,            0.011944,                   0,             0.87464,             0.70705,             0.75888,             0.46776,            0.042764,            0.035149,                   0,              0.0088,              0.0088,              0.0088
                  42,            0.023594,             0.01195,                   0,             0.46467,             0.27203,             0.24219,             0.11748,             0.07364,            0.058725,                   0,             0.00877,             0.00877,             0.00877
                  43,            0.023201,            0.011556,                   0,             0.91927,              0.6521,             0.70475,             0.43193,            0.041526,             0.04646,                   0,             0.00874,             0.00874,             0.00874
                  44,            0.021925,            0.011101,                   0,             0.89184,             0.73554,             0.80727,             0.51496,            0.038358,            0.033031,                   0,             0.00871,             0.00871,             0.00871
                  45,            0.022628,            0.011274,                   0,             0.89412,             0.76542,              0.8254,             0.52764,            0.037737,            0.031343,                   0,             0.00868,             0.00868,             0.00868
                  46,            0.022409,            0.011138,                   0,             0.89689,             0.75678,             0.81584,             0.51115,            0.038661,             0.03274,                   0,             0.00865,             0.00865,             0.00865
                  47,             0.02164,            0.010805,                   0,             0.89907,              0.7467,             0.79737,             0.49062,            0.039772,            0.034625,                   0,             0.00862,             0.00862,             0.00862
                  48,            0.021491,            0.010852,                   0,             0.79334,             0.40529,             0.43944,             0.23894,            0.058129,            0.054523,                   0,             0.00859,             0.00859,             0.00859
                  49,            0.022064,            0.010413,                   0,             0.88095,             0.74572,             0.78917,             0.49636,            0.039051,            0.035694,                   0,             0.00856,             0.00856,             0.00856
                  50,            0.021188,            0.010082,                   0,             0.87296,             0.74229,             0.78605,             0.50603,            0.039013,            0.034555,                   0,             0.00853,             0.00853,             0.00853
                  51,            0.021247,            0.010227,                   0,              0.8872,              0.7753,             0.81094,             0.51707,            0.037687,            0.034136,                   0,              0.0085,              0.0085,              0.0085
                  52,            0.021437,            0.010163,                   0,             0.90322,             0.77643,             0.82081,             0.52306,            0.037808,            0.033402,                   0,             0.00847,             0.00847,             0.00847
                  53,            0.020568,           0.0099406,                   0,             0.89488,             0.72658,             0.75689,             0.47808,            0.038928,            0.040185,                   0,             0.00844,             0.00844,             0.00844
                  54,            0.020614,            0.010258,                   0,             0.84294,             0.71518,             0.76384,             0.46045,             0.04143,            0.036827,                   0,             0.00841,             0.00841,             0.00841
                  55,            0.019933,           0.0094369,                   0,             0.88865,             0.71751,             0.78387,             0.50403,            0.038676,            0.036909,                   0,             0.00838,             0.00838,             0.00838
                  56,            0.020532,           0.0095026,                   0,             0.90593,             0.70099,             0.74055,             0.46449,            0.040924,            0.040967,                   0,             0.00835,             0.00835,             0.00835
                  57,            0.019799,           0.0092188,                   0,             0.89795,             0.74284,             0.80977,             0.52121,            0.037394,            0.035141,                   0,             0.00832,             0.00832,             0.00832
                  58,            0.019399,           0.0091831,                   0,             0.89441,             0.74161,             0.77123,             0.48976,            0.037893,             0.03822,                   0,             0.00829,             0.00829,             0.00829
                  59,            0.019708,           0.0094157,                   0,             0.92277,             0.68943,             0.74875,             0.48667,            0.039399,            0.042004,                   0,             0.00826,             0.00826,             0.00826
                  60,            0.019028,            0.009098,                   0,             0.92622,             0.72585,              0.7779,             0.49809,            0.038331,            0.039812,                   0,             0.00823,             0.00823,             0.00823
                  61,            0.019065,           0.0089717,                   0,             0.92695,              0.7065,             0.75736,             0.49268,            0.037585,            0.049641,                   0,              0.0082,              0.0082,              0.0082
                  62,            0.019049,           0.0088824,                   0,             0.86561,             0.68007,             0.71463,             0.42687,            0.043142,            0.042145,                   0,             0.00817,             0.00817,             0.00817
                  63,            0.019341,           0.0087711,                   0,             0.90101,             0.77185,             0.81831,             0.52342,            0.036992,            0.035377,                   0,             0.00814,             0.00814,             0.00814
                  64,             0.01911,           0.0087102,                   0,             0.88158,             0.73792,             0.75858,             0.48098,            0.038429,            0.042764,                   0,             0.00811,             0.00811,             0.00811
                  65,            0.018727,           0.0084349,                   0,             0.90052,              0.7078,             0.74962,             0.48328,             0.03853,            0.047979,                   0,             0.00808,             0.00808,             0.00808
                  66,             0.01873,           0.0087461,                   0,             0.84086,              0.6983,             0.71465,             0.43896,            0.041954,            0.045342,                   0,             0.00805,             0.00805,             0.00805
                  67,            0.018581,           0.0084645,                   0,             0.88409,             0.71822,             0.77351,             0.49485,            0.038902,            0.037719,                   0,             0.00802,             0.00802,             0.00802
                  68,            0.018332,           0.0084717,                   0,             0.85451,             0.71366,             0.74532,             0.47279,            0.040567,             0.04219,                   0,             0.00799,             0.00799,             0.00799
