               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032136,            0.029506,           0.0096374,             0.30268,             0.28803,             0.27395,             0.15143,            0.059538,            0.094877,            0.018071,             0.00892,             0.00892,             0.00892
                  38,            0.031745,            0.029765,           0.0095084,             0.66602,             0.42278,             0.45497,             0.27942,            0.048703,            0.074613,            0.013521,             0.00889,             0.00889,             0.00889
                  39,            0.031603,            0.028512,           0.0093673,             0.59032,             0.36112,             0.37432,             0.22305,            0.053939,            0.082683,            0.016294,             0.00886,             0.00886,             0.00886
                  40,            0.030737,              0.0287,           0.0092119,             0.56652,             0.26085,             0.25308,             0.12886,            0.065558,            0.096232,            0.018468,             0.00883,             0.00883,             0.00883
                  41,            0.030672,            0.028617,           0.0089311,             0.25743,             0.21881,             0.19065,            0.095757,             0.06827,             0.10689,            0.022269,              0.0088,              0.0088,              0.0088
                  42,            0.030048,             0.02845,           0.0088275,             0.50864,             0.54674,             0.54535,             0.35734,            0.044773,            0.070506,            0.012411,             0.00877,             0.00877,             0.00877
                  43,             0.03056,            0.027399,           0.0087214,             0.46727,             0.40943,             0.40591,             0.23977,            0.051711,            0.084503,            0.014263,             0.00874,             0.00874,             0.00874
                  44,            0.029293,            0.027524,           0.0085799,             0.33234,             0.34336,             0.31807,              0.1807,            0.057202,            0.092962,            0.015908,             0.00871,             0.00871,             0.00871
                  45,             0.02976,            0.027293,           0.0084902,             0.42443,             0.49504,             0.47561,             0.27952,            0.050953,            0.078432,            0.013412,             0.00868,             0.00868,             0.00868
                  46,            0.029741,            0.027115,           0.0083447,             0.44809,             0.26307,             0.24594,             0.12246,            0.068001,             0.10751,            0.018907,             0.00865,             0.00865,             0.00865
                  47,             0.02922,            0.026215,           0.0081586,             0.31396,              0.2716,             0.24877,             0.13191,            0.063272,             0.10336,            0.019549,             0.00862,             0.00862,             0.00862
                  48,            0.029262,            0.026355,           0.0081545,             0.41199,             0.44008,             0.42422,             0.24974,            0.051809,            0.080858,            0.014709,             0.00859,             0.00859,             0.00859
                  49,            0.029545,            0.025696,           0.0080343,             0.42953,             0.39244,             0.36748,             0.20837,            0.056203,            0.087842,            0.016055,             0.00856,             0.00856,             0.00856
                  50,            0.028887,            0.025399,           0.0078987,              0.3008,             0.26888,             0.23904,              0.1287,            0.060915,             0.10811,            0.021466,             0.00853,             0.00853,             0.00853
                  51,            0.028627,            0.025826,           0.0077789,             0.47372,             0.36921,              0.3785,             0.23378,            0.052701,             0.09372,            0.014396,              0.0085,              0.0085,              0.0085
                  52,            0.028542,              0.0253,           0.0076283,             0.50762,             0.51777,             0.51326,             0.32282,            0.047149,            0.081442,            0.012831,             0.00847,             0.00847,             0.00847
                  53,            0.027666,            0.024471,           0.0074151,             0.51038,             0.47251,             0.48248,             0.29331,            0.047712,            0.082966,            0.012933,             0.00844,             0.00844,             0.00844
                  54,             0.02784,            0.025233,           0.0075137,             0.52613,              0.5307,             0.53438,             0.33758,            0.045896,            0.078921,            0.012154,             0.00841,             0.00841,             0.00841
                  55,            0.027455,            0.023672,           0.0071978,             0.21615,             0.16054,             0.13385,            0.064594,            0.072055,             0.12364,              0.0245,             0.00838,             0.00838,             0.00838
                  56,              0.0272,             0.02375,           0.0071759,             0.58463,             0.62641,             0.62183,             0.40938,            0.043776,            0.074737,             0.01132,             0.00835,             0.00835,             0.00835
                  57,            0.027588,            0.023653,           0.0072438,             0.51699,             0.48633,             0.52222,             0.31706,            0.046743,            0.077442,            0.013128,             0.00832,             0.00832,             0.00832
                  58,             0.02727,            0.023604,           0.0070163,             0.32332,             0.23468,             0.21785,             0.11443,            0.063738,             0.11501,            0.020783,             0.00829,             0.00829,             0.00829
                  59,            0.026957,            0.023439,           0.0068933,             0.70724,             0.61207,             0.67975,             0.45553,            0.041162,            0.069711,            0.010225,             0.00826,             0.00826,             0.00826
                  60,            0.027026,            0.023944,           0.0069368,             0.46017,             0.35865,             0.36338,                0.22,            0.053292,            0.099328,            0.014281,             0.00823,             0.00823,             0.00823
                  61,            0.027116,            0.023237,           0.0067777,             0.58849,             0.60856,             0.63044,             0.40114,            0.045983,            0.075848,            0.011268,              0.0082,              0.0082,              0.0082
                  62,            0.026588,            0.023043,           0.0066714,               0.394,             0.30359,             0.29418,             0.17617,            0.055972,             0.10639,            0.015551,             0.00817,             0.00817,             0.00817
                  63,            0.026512,            0.022689,           0.0065809,             0.55999,             0.54671,              0.5637,             0.36337,            0.045494,            0.080925,            0.011971,             0.00814,             0.00814,             0.00814
                  64,            0.026411,            0.022608,             0.00642,             0.54618,             0.39412,             0.40648,             0.24226,            0.054446,            0.096099,            0.014997,             0.00811,             0.00811,             0.00811
                  65,            0.025219,            0.021866,           0.0063825,             0.57724,             0.53713,             0.55234,             0.36068,            0.045579,            0.083504,            0.011964,             0.00808,             0.00808,             0.00808
                  66,            0.026137,            0.022858,           0.0063113,             0.66434,             0.64997,              0.6878,             0.46826,            0.041548,            0.072198,            0.010195,             0.00805,             0.00805,             0.00805
                  67,            0.025669,            0.022026,           0.0061982,             0.65471,             0.64504,             0.70419,             0.47928,            0.041005,            0.071607,           0.0097484,             0.00802,             0.00802,             0.00802
                  68,            0.025528,            0.022163,           0.0061704,             0.65321,             0.60962,             0.65582,             0.43054,            0.042962,            0.076915,            0.010983,             0.00799,             0.00799,             0.00799
                  69,            0.025459,            0.021734,           0.0061157,             0.61051,             0.58019,             0.61608,             0.40111,            0.045251,            0.081487,            0.011533,             0.00796,             0.00796,             0.00796
                  70,            0.025031,            0.022032,           0.0059388,             0.44671,             0.33162,             0.32818,             0.19532,            0.055889,             0.10874,             0.01512,             0.00793,             0.00793,             0.00793
                  71,            0.024427,            0.021184,           0.0058688,              0.4855,             0.40046,              0.4117,             0.25046,            0.051596,            0.095178,             0.01365,              0.0079,              0.0079,              0.0079
                  72,             0.02552,            0.021951,           0.0058196,             0.47252,              0.4308,             0.42277,              0.2538,            0.052459,            0.091844,            0.015394,             0.00787,             0.00787,             0.00787
