               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032573,             0.03017,           0.0091112,             0.45768,             0.49765,             0.44996,             0.25914,            0.049437,            0.069864,            0.013898,             0.00892,             0.00892,             0.00892
                  38,            0.031772,            0.030263,           0.0089952,             0.52295,             0.57909,             0.58927,             0.37658,            0.043585,             0.06327,            0.011356,             0.00889,             0.00889,             0.00889
                  39,            0.031798,            0.028635,            0.008772,             0.38088,             0.37652,             0.34046,             0.20457,            0.054914,            0.086764,            0.016586,             0.00886,             0.00886,             0.00886
                  40,            0.031159,            0.028491,           0.0087237,             0.44165,             0.49502,             0.46827,              0.2748,            0.047755,            0.072949,            0.013683,             0.00883,             0.00883,             0.00883
                  41,            0.030658,            0.028753,           0.0083512,             0.56404,             0.55366,             0.57553,             0.36671,            0.044581,             0.06691,            0.011715,              0.0088,              0.0088,              0.0088
                  42,            0.031351,            0.028757,           0.0083746,             0.65507,             0.56978,             0.61442,             0.40779,            0.042551,            0.064156,            0.011172,             0.00877,             0.00877,             0.00877
                  43,            0.030739,            0.027525,           0.0082283,             0.31882,             0.32252,              0.2883,             0.14737,            0.058759,            0.098639,            0.016694,             0.00874,             0.00874,             0.00874
                  44,            0.030318,            0.027307,           0.0080895,             0.63003,             0.52933,             0.58662,             0.36339,            0.046282,            0.070873,            0.011804,             0.00871,             0.00871,             0.00871
                  45,             0.03025,            0.027031,           0.0080817,             0.62847,             0.58831,               0.633,             0.42301,            0.042436,            0.066837,            0.010873,             0.00868,             0.00868,             0.00868
                  46,            0.029622,            0.027897,           0.0078049,             0.56358,             0.52807,              0.5385,             0.34253,            0.045507,            0.069876,            0.012073,             0.00865,             0.00865,             0.00865
                  47,            0.029604,            0.026761,           0.0077238,             0.53362,             0.56601,             0.56256,             0.36158,             0.04518,            0.070439,            0.011602,             0.00862,             0.00862,             0.00862
                  48,            0.029024,            0.026794,           0.0076191,             0.44526,             0.47438,             0.43388,             0.25949,            0.050419,            0.082474,            0.014428,             0.00859,             0.00859,             0.00859
                  49,            0.029396,            0.025646,            0.007495,             0.58083,             0.62947,             0.64964,              0.4253,            0.042646,             0.06749,            0.010801,             0.00856,             0.00856,             0.00856
                  50,            0.028687,            0.025379,           0.0074147,             0.26892,             0.17862,             0.16268,            0.073353,            0.069281,             0.11629,            0.022566,             0.00853,             0.00853,             0.00853
                  51,            0.029149,            0.025693,           0.0072636,             0.59085,             0.56437,             0.61137,              0.3892,            0.043489,            0.068026,            0.010799,              0.0085,              0.0085,              0.0085
                  52,            0.028388,            0.025134,           0.0071555,             0.41063,              0.3671,             0.34787,             0.19504,            0.057089,            0.089752,            0.016935,             0.00847,             0.00847,             0.00847
                  53,            0.028245,            0.024591,           0.0069887,              0.5218,              0.4817,             0.47989,             0.29465,            0.051077,            0.078032,            0.013258,             0.00844,             0.00844,             0.00844
                  54,            0.028461,            0.025437,           0.0070363,             0.59862,              0.5557,             0.60246,             0.38633,            0.044265,            0.069677,            0.011329,             0.00841,             0.00841,             0.00841
                  55,            0.027845,            0.023793,           0.0067607,             0.65041,             0.63722,             0.69961,             0.46969,            0.041763,            0.066284,           0.0099209,             0.00838,             0.00838,             0.00838
                  56,            0.027702,            0.024189,           0.0067187,             0.48457,             0.47152,             0.46959,             0.28247,             0.05048,            0.085083,            0.013679,             0.00835,             0.00835,             0.00835
                  57,            0.027936,            0.023861,           0.0067157,             0.52574,             0.50747,             0.50596,             0.29369,            0.050264,            0.082522,            0.013312,             0.00832,             0.00832,             0.00832
                  58,            0.027181,            0.023664,            0.006513,             0.67765,              0.6091,             0.67427,             0.43158,            0.044358,            0.071362,            0.010769,             0.00829,             0.00829,             0.00829
                  59,            0.026174,            0.023889,            0.006358,             0.61314,              0.5986,               0.633,             0.40878,            0.044268,            0.073745,            0.010933,             0.00826,             0.00826,             0.00826
                  60,            0.027157,            0.024238,           0.0063814,             0.63203,              0.6224,              0.6568,             0.44357,              0.0433,            0.073125,            0.010827,             0.00823,             0.00823,             0.00823
                  61,            0.027272,            0.023394,           0.0062589,             0.71365,             0.65737,             0.72262,             0.48221,            0.042008,            0.067238,           0.0097759,              0.0082,              0.0082,              0.0082
                  62,            0.026816,            0.023211,            0.006206,             0.39073,             0.32503,             0.31615,             0.17928,            0.059279,            0.097469,            0.018152,             0.00817,             0.00817,             0.00817
                  63,            0.027012,            0.022877,           0.0061498,             0.64664,             0.58942,             0.64946,             0.43208,            0.043387,            0.073322,            0.010866,             0.00814,             0.00814,             0.00814
                  64,            0.026975,            0.022872,           0.0060055,             0.70427,             0.67414,             0.72441,             0.50252,            0.040999,            0.067472,           0.0096408,             0.00811,             0.00811,             0.00811
                  65,            0.025894,             0.02186,           0.0059748,             0.72617,             0.69081,             0.74376,             0.51264,            0.040198,            0.066805,           0.0092839,             0.00808,             0.00808,             0.00808
                  66,            0.025919,            0.022701,           0.0058235,             0.50599,             0.48355,             0.49878,             0.30598,            0.048942,            0.083038,            0.014021,             0.00805,             0.00805,             0.00805
                  67,            0.025552,            0.021835,           0.0057042,             0.68549,             0.63084,              0.6782,             0.46033,            0.043238,            0.074425,            0.010407,             0.00802,             0.00802,             0.00802
                  68,            0.025886,            0.022241,            0.005672,             0.67364,             0.55198,             0.59231,             0.39749,            0.046555,            0.081876,            0.011767,             0.00799,             0.00799,             0.00799
                  69,            0.025717,            0.021641,           0.0056225,             0.56631,             0.51033,             0.53898,             0.32149,            0.051834,            0.088001,            0.013479,             0.00796,             0.00796,             0.00796
                  70,            0.024872,            0.021652,           0.0054913,             0.61638,             0.52887,             0.55676,             0.35828,            0.046949,            0.087771,            0.012087,             0.00793,             0.00793,             0.00793
                  71,            0.024944,             0.02137,           0.0054043,             0.51024,             0.48155,             0.49141,             0.27688,            0.054229,            0.093158,            0.014283,              0.0079,              0.0079,              0.0079
                  72,            0.025342,            0.021776,           0.0053913,             0.75909,              0.7126,             0.75966,             0.53233,            0.039799,            0.066047,           0.0090145,             0.00787,             0.00787,             0.00787
                  73,            0.024831,            0.021446,           0.0052639,             0.73641,             0.68422,             0.73217,             0.51057,            0.041703,            0.071463,           0.0095396,             0.00784,             0.00784,             0.00784
                  74,            0.024856,            0.021255,           0.0052107,             0.70797,             0.67576,             0.72278,             0.48333,            0.040912,            0.068403,           0.0098766,             0.00781,             0.00781,             0.00781
                  75,            0.024907,            0.021179,           0.0051388,             0.55063,             0.43119,             0.46813,              0.2914,            0.051394,            0.089899,            0.015263,             0.00778,             0.00778,             0.00778
                  76,            0.024906,            0.020838,           0.0050158,             0.79234,             0.63128,             0.71729,             0.48786,            0.042303,            0.074438,           0.0098759,             0.00775,             0.00775,             0.00775
                  77,            0.024243,            0.020804,           0.0049873,             0.47252,             0.33761,             0.34336,             0.20068,            0.058942,             0.10178,            0.017012,             0.00772,             0.00772,             0.00772
                  78,            0.024005,            0.020009,            0.004843,             0.74603,             0.67771,             0.73017,             0.49254,            0.042628,            0.075351,           0.0097327,             0.00769,             0.00769,             0.00769
                  79,            0.024113,            0.020071,           0.0049081,             0.53613,              0.3878,             0.40532,             0.24973,            0.055017,            0.098366,            0.015678,             0.00766,             0.00766,             0.00766
                  80,            0.023572,            0.020306,           0.0048072,             0.50224,             0.44635,             0.45239,             0.25151,            0.054418,            0.096757,             0.01468,             0.00763,             0.00763,             0.00763
                  81,            0.023055,            0.020217,           0.0046414,             0.70797,             0.61378,             0.65759,              0.4282,            0.044185,            0.078036,            0.011225,              0.0076,              0.0076,              0.0076
                  82,            0.023682,            0.020457,           0.0047146,             0.76654,             0.64448,             0.71007,             0.48895,             0.04232,            0.076678,           0.0097587,             0.00757,             0.00757,             0.00757
                  83,             0.02363,             0.02017,           0.0047056,             0.47425,             0.35646,             0.35837,             0.21419,            0.057209,             0.10175,            0.016798,             0.00754,             0.00754,             0.00754
                  84,            0.023795,            0.019876,           0.0046439,             0.78762,             0.68551,             0.75348,             0.52058,            0.040807,            0.072017,           0.0090228,             0.00751,             0.00751,             0.00751
                  85,             0.02355,            0.019793,           0.0045798,             0.72538,             0.61872,             0.66449,             0.42731,            0.045427,            0.078757,             0.01088,             0.00748,             0.00748,             0.00748
                  86,            0.022985,            0.019764,           0.0044368,             0.72094,             0.46547,             0.52674,             0.31921,            0.050687,            0.090802,            0.013153,             0.00745,             0.00745,             0.00745
                  87,            0.023383,            0.020171,           0.0044122,             0.58433,             0.54544,             0.56321,             0.36146,            0.048033,            0.083368,            0.012718,             0.00742,             0.00742,             0.00742
                  88,            0.023268,            0.020264,           0.0044115,             0.80583,             0.64199,             0.71903,             0.48902,            0.042269,            0.077321,           0.0096686,             0.00739,             0.00739,             0.00739
                  89,            0.022957,            0.019323,           0.0043472,             0.68962,             0.52554,             0.57682,             0.36476,            0.046844,            0.083275,            0.012024,             0.00736,             0.00736,             0.00736
                  90,             0.02305,            0.018924,           0.0043517,             0.71811,             0.53595,             0.60818,             0.39823,            0.046371,            0.080653,            0.012431,             0.00733,             0.00733,             0.00733
                  91,            0.022967,             0.01912,           0.0042301,             0.74922,             0.63443,             0.68703,             0.46135,            0.042655,            0.079558,            0.010079,              0.0073,              0.0073,              0.0073
                  92,            0.022405,            0.018557,           0.0041587,             0.79301,             0.65291,             0.72353,             0.49248,            0.042834,            0.078999,            0.009367,             0.00727,             0.00727,             0.00727
                  93,            0.022874,            0.019226,           0.0042647,             0.71143,             0.65344,             0.69758,             0.47122,             0.04278,            0.080093,           0.0098735,             0.00724,             0.00724,             0.00724
                  94,            0.022828,            0.018984,           0.0041733,             0.42478,             0.36629,             0.36208,             0.21925,            0.055949,             0.10852,            0.017569,             0.00721,             0.00721,             0.00721
                  95,            0.022517,            0.018539,           0.0040566,             0.79661,             0.65225,             0.72235,             0.48275,            0.043501,            0.077571,           0.0099029,             0.00718,             0.00718,             0.00718
                  96,            0.022733,            0.019004,            0.004103,             0.81495,             0.67262,              0.7398,             0.50922,            0.041918,            0.077264,           0.0091394,             0.00715,             0.00715,             0.00715
                  97,            0.022099,            0.018682,           0.0040564,             0.75466,             0.58745,              0.6337,             0.42671,            0.046321,             0.08511,            0.011071,             0.00712,             0.00712,             0.00712
                  98,            0.021908,            0.018735,           0.0040282,              0.8564,             0.69328,             0.77762,              0.5502,            0.039927,            0.072542,           0.0082256,             0.00709,             0.00709,             0.00709
                  99,            0.022049,            0.018452,           0.0039232,             0.77123,             0.69375,             0.74472,             0.51983,            0.040283,            0.074728,           0.0084916,             0.00706,             0.00706,             0.00706
                 100,            0.021837,            0.018147,           0.0039252,             0.77829,             0.62754,             0.70135,             0.48289,            0.042483,            0.083001,           0.0097749,             0.00703,             0.00703,             0.00703
                 101,            0.021615,            0.018176,           0.0038476,             0.79936,             0.59803,             0.68372,             0.46865,             0.04326,            0.082877,            0.010114,               0.007,               0.007,               0.007
                 102,            0.021879,            0.018048,           0.0038272,             0.81737,             0.72193,             0.77353,             0.54076,            0.040965,            0.077182,           0.0084231,             0.00697,             0.00697,             0.00697
                 103,            0.021081,            0.017513,           0.0037454,             0.69006,             0.57323,             0.60399,             0.39759,            0.045293,            0.083602,            0.011849,             0.00694,             0.00694,             0.00694
                 104,            0.021111,             0.01769,           0.0038005,             0.77673,             0.63019,             0.71295,             0.49074,            0.042106,            0.080581,           0.0096006,             0.00691,             0.00691,             0.00691
                 105,            0.021471,            0.018147,           0.0036696,             0.68685,             0.58349,             0.61762,             0.40224,              0.0454,             0.08393,            0.012325,             0.00688,             0.00688,             0.00688
                 106,            0.021174,            0.017692,           0.0036364,             0.84315,             0.70264,             0.77619,             0.54964,            0.040045,            0.074913,            0.008336,             0.00685,             0.00685,             0.00685
                 107,            0.021237,            0.018061,           0.0036584,             0.83934,             0.71548,             0.78246,             0.56068,            0.039858,            0.074796,           0.0080441,             0.00682,             0.00682,             0.00682
                 108,            0.021394,            0.018065,           0.0035853,              0.5618,             0.35699,             0.38218,              0.2262,            0.056931,             0.10693,            0.015974,             0.00679,             0.00679,             0.00679
                 109,            0.020822,            0.017237,           0.0035123,             0.77889,             0.64632,             0.70372,             0.48628,            0.042326,            0.084793,           0.0094332,             0.00676,             0.00676,             0.00676
                 110,            0.021351,            0.017406,           0.0034891,             0.83859,             0.69822,             0.77256,             0.54137,            0.040684,            0.077832,           0.0085361,             0.00673,             0.00673,             0.00673
                 111,             0.02121,            0.017931,           0.0035152,             0.81826,             0.66734,             0.74186,              0.5208,            0.041679,            0.079921,           0.0089993,              0.0067,              0.0067,              0.0067
                 112,            0.020558,            0.017244,           0.0034662,             0.81799,             0.69599,             0.77323,             0.54454,            0.040692,            0.078012,           0.0087007,             0.00667,             0.00667,             0.00667
                 113,             0.02022,            0.016732,           0.0033673,             0.88163,             0.69751,              0.7804,             0.55821,            0.039975,            0.077935,           0.0082807,             0.00664,             0.00664,             0.00664
                 114,            0.020601,            0.017151,           0.0033714,             0.81982,             0.70922,             0.76745,             0.54167,            0.039847,            0.076536,           0.0082194,             0.00661,             0.00661,             0.00661
                 115,            0.020135,            0.016526,           0.0032976,             0.79501,              0.6392,             0.71299,             0.47353,            0.043132,            0.077997,            0.010118,             0.00658,             0.00658,             0.00658
                 116,            0.020473,            0.016915,           0.0032917,             0.68591,             0.63689,             0.66228,             0.43358,              0.0439,            0.080663,            0.010477,             0.00655,             0.00655,             0.00655
                 117,            0.020217,            0.017126,           0.0032857,             0.81869,              0.7034,             0.76417,             0.53169,            0.041291,            0.079437,           0.0084905,             0.00652,             0.00652,             0.00652
                 118,            0.020086,            0.016777,           0.0032223,             0.74971,             0.57931,             0.64292,             0.41612,            0.045194,            0.081629,            0.011748,             0.00649,             0.00649,             0.00649
                 119,            0.019778,            0.016554,           0.0032108,             0.68131,             0.55444,             0.58675,             0.35969,            0.046545,            0.084936,            0.012256,             0.00646,             0.00646,             0.00646
                 120,            0.020419,            0.017075,           0.0032303,             0.63896,             0.41345,             0.45098,             0.27638,            0.053685,            0.099209,            0.015211,             0.00643,             0.00643,             0.00643
                 121,            0.019922,            0.016571,           0.0031339,             0.85478,             0.74274,             0.79712,             0.56837,             0.03926,            0.074502,           0.0076967,              0.0064,              0.0064,              0.0064
                 122,            0.019545,             0.01637,           0.0030884,             0.87814,             0.70973,             0.79389,             0.56898,            0.039486,            0.076259,            0.008085,             0.00637,             0.00637,             0.00637
                 123,            0.020135,            0.016587,           0.0030868,             0.86556,             0.71501,             0.78528,             0.55459,            0.040493,            0.079514,           0.0082444,             0.00634,             0.00634,             0.00634
                 124,            0.019152,            0.016043,           0.0030356,             0.83448,             0.71202,             0.77393,             0.55004,            0.040534,            0.077443,           0.0083917,             0.00631,             0.00631,             0.00631
                 125,            0.019904,            0.016594,            0.003058,             0.76707,             0.54477,             0.61503,             0.40561,            0.046625,             0.08683,            0.012086,             0.00628,             0.00628,             0.00628
                 126,            0.019496,             0.01603,           0.0029466,             0.66397,             0.56065,             0.59617,             0.38921,            0.045178,            0.085368,            0.011945,             0.00625,             0.00625,             0.00625
                 127,            0.019474,            0.016165,           0.0029694,             0.85583,             0.73585,             0.80025,             0.56867,            0.039793,            0.078106,           0.0079287,             0.00622,             0.00622,             0.00622
                 128,            0.019476,            0.016232,           0.0029183,             0.85742,             0.69153,             0.77714,             0.54676,            0.040408,            0.080633,           0.0083739,             0.00619,             0.00619,             0.00619
                 129,            0.019398,            0.016038,           0.0029104,             0.84857,             0.65124,             0.71764,             0.50403,            0.042986,            0.082711,           0.0093797,             0.00616,             0.00616,             0.00616
                 130,            0.019569,            0.016366,            0.002927,             0.83519,             0.68161,             0.74724,             0.50444,            0.042865,            0.082453,           0.0091438,             0.00613,             0.00613,             0.00613
